Index	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	StartTime	ChangeTime	Response	ResponseTime	Valid
1	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	5.405979	0	0	0	False
2	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	9.310931	0	4	9.699759	True

Index	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	StartTime	ChangeTime	Response	ResponseTime	Valid
1	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	3.232989	0	0	0	False
2	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	7.130463	0	0	0	False
3	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	13.64959	0	0	0	False
4	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	20.82574	0	0	0	False
5	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	25.61833	0	0	0	False
6	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	33.9177	0	0	0	False
7	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	38.70893	0	0	0	False
8	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	47.02296	0	0	0	False
9	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	52.0564	0	0	0	False
10	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	56.63325	0	0	0	False
11	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	60.92935	0	0	0	False
12	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	68.33781	0	0	0	False
13	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	71.99463	0	0	0	False
14	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	78.80173	0	0	0	False
15	trial_id	trial_type	trial_code	SM_velocity	OM_velocity	Condition_name	onset	duration	ITI_duration	82.88598	0	0	0	False
